Tanggal,Waktu,Temperature,Humidity,MQ-6 (ppm),ADC,Label,Relabel
26/04/2026,11:28:19,31.99,69.67,0.34,105,0,0
26/04/2026,11:31:31,31.91,68.61,0.3,99,0,0
26/04/2026,11:35:30,31.66,69.94,0.34,105,0,0
26/04/2026,11:37:36,31.56,70.11,0.37,109,0,0
26/04/2026,11:39:33,31.54,69.52,0.39,111,0,0
26/04/2026,11:41:37,31.57,69.21,0.38,110,0,0
26/04/2026,11:43:41,31.57,69.54,0.37,109,0,0
26/04/2026,11:45:32,31.64,67.79,0.36,107,0,0
26/04/2026,11:47:33,31.68,68.25,0.33,103,0,0
26/04/2026,11:49:32,31.74,68.24,0.29,97,0,0
26/04/2026,11:51:32,31.77,68.46,0.34,105,0,0
26/04/2026,11:53:32,31.75,69.26,0.37,109,0,0
26/04/2026,11:55:33,31.76,68.66,0.34,105,0,0
26/04/2026,11:57:33,31.76,68.33,0.32,102,0,0
26/04/2026,11:59:33,31.82,67.75,0.32,102,0,0
26/04/2026,12:01:37,31.9,67.07,0.3,99,0,0
26/04/2026,12:07:34,31.97,66.78,0.31,100,0,0
26/04/2026,12:09:34,31.98,66.93,0.34,105,0,0
26/04/2026,12:11:35,32.0,68.63,0.3,99,0,0
26/04/2026,12:13:35,32.01,66.65,0.24,89,0,0
26/04/2026,12:15:38,32.02,65.01,0.22,86,0,0
26/04/2026,12:17:38,31.98,65.7,0.41,114,0,0
26/04/2026,12:19:41,31.91,67.1,0.41,114,0,0
26/04/2026,12:21:39,31.83,67.34,0.4,113,0,0
26/04/2026,12:23:40,31.75,67.95,0.41,114,0,0
26/04/2026,12:25:40,31.68,68.0,0.54,129,0,0
26/04/2026,12:29:38,31.57,68.06,0.52,127,0,0
26/04/2026,12:31:38,31.53,67.96,0.5,125,0,0
26/04/2026,12:33:37,31.5,68.21,0.51,126,0,0
26/04/2026,12:35:38,31.48,68.4,0.67,142,0,0
26/04/2026,12:37:39,31.46,68.87,0.62,138,0,0
26/04/2026,12:39:39,31.44,68.78,0.65,140,0,0
26/04/2026,12:41:38,31.43,68.55,0.65,140,0,0
26/04/2026,12:43:38,31.42,68.63,0.68,143,0,0
26/04/2026,12:45:40,31.42,68.97,0.57,132,0,0
26/04/2026,12:47:42,31.42,68.71,0.66,141,0,0
26/04/2026,12:49:40,31.42,68.92,0.56,131,0,0
26/04/2026,12:51:39,31.42,68.47,0.6,135,0,0
26/04/2026,12:53:40,31.43,68.45,0.63,139,0,0
26/04/2026,12:55:41,31.44,68.61,0.56,131,0,0
26/04/2026,12:57:41,31.45,68.77,0.48,122,0,0
26/04/2026,12:59:41,31.46,68.8,0.59,134,0,0
26/04/2026,13:01:41,31.47,69.02,0.85,159,0,0
26/04/2026,13:03:41,31.48,68.53,0.7,145,0,0
26/04/2026,13:05:41,31.49,68.97,0.61,136,0,0
26/04/2026,13:07:44,31.49,69.01,0.97,168,0,0
26/04/2026,13:09:42,31.5,69.12,0.98,169,0,0
26/04/2026,13:11:43,31.5,68.85,0.81,155,0,0
26/04/2026,13:13:45,31.5,68.83,0.73,148,0,0
26/04/2026,13:17:51,31.53,68.77,0.67,142,0,0
26/04/2026,13:19:44,31.54,68.82,0.6,135,0,0
26/04/2026,13:21:50,31.55,69.01,0.62,138,0,0
26/04/2026,13:23:53,31.57,69.2,0.71,146,0,0
26/04/2026,13:25:48,31.57,69.83,0.7,145,0,0
26/04/2026,13:27:48,31.58,69.71,0.69,144,0,0
26/04/2026,13:29:47,31.6,69.89,0.61,136,0,0
26/04/2026,13:31:46,31.61,70.02,0.83,157,0,0
26/04/2026,13:33:49,31.62,70.31,0.61,136,0,0
26/04/2026,13:39:49,31.67,70.53,0.65,140,0,0
26/04/2026,13:41:47,31.68,70.68,0.76,151,0,0
26/04/2026,13:45:48,31.71,71.69,0.66,141,0,0
26/04/2026,13:47:47,31.73,72.09,0.56,131,0,0
26/04/2026,13:49:48,31.74,72.39,0.65,140,0,0
26/04/2026,13:51:48,31.74,72.44,0.68,143,0,0
26/04/2026,13:53:48,31.75,72.72,0.76,151,0,0
26/04/2026,13:55:50,31.76,72.86,0.77,152,0,0
26/04/2026,13:57:49,31.76,72.96,0.72,147,0,0
26/04/2026,13:59:58,31.77,73.13,0.75,150,0,0
26/04/2026,14:01:50,31.78,73.39,0.68,143,0,0
26/04/2026,14:03:50,31.78,73.39,0.81,155,0,0
26/04/2026,14:05:50,31.78,73.45,0.73,148,0,0
26/04/2026,14:07:51,31.79,73.67,0.63,139,0,0
26/04/2026,14:09:51,31.79,73.52,0.76,151,0,0
26/04/2026,14:11:51,31.8,73.58,0.75,150,0,0
26/04/2026,14:13:51,31.8,73.64,0.81,155,0,0
26/04/2026,14:15:52,31.82,73.69,0.84,158,0,0
26/04/2026,14:17:55,31.83,73.81,0.74,149,0,0
26/04/2026,14:19:52,31.84,73.91,0.73,148,0,0
26/04/2026,14:21:52,31.85,73.97,0.78,153,0,0
26/04/2026,14:23:52,31.86,74.19,0.58,133,0,0
26/04/2026,14:25:53,31.87,74.3,0.51,126,0,0
26/04/2026,14:27:53,31.88,74.33,0.61,136,0,0
26/04/2026,14:29:53,31.89,74.49,0.53,128,0,0
26/04/2026,14:31:54,31.9,74.47,0.73,148,0,0
26/04/2026,14:33:54,31.9,74.58,0.52,127,0,0
26/04/2026,14:35:54,31.91,74.36,0.8,154,0,0
26/04/2026,14:37:54,31.93,74.39,0.5,125,0,0
26/04/2026,14:39:54,31.94,74.37,0.65,140,0,0
26/04/2026,14:41:54,31.95,74.46,0.42,115,0,0
26/04/2026,14:43:55,31.95,74.43,0.52,127,0,0
26/04/2026,14:45:57,31.96,74.44,0.78,153,0,0
26/04/2026,14:47:55,31.96,74.49,0.59,134,0,0
26/04/2026,14:49:56,31.97,74.51,0.45,119,0,0
26/04/2026,14:51:56,31.97,74.5,0.63,139,0,0
26/04/2026,14:53:56,31.97,74.49,0.99,170,0,0
26/04/2026,14:56:01,31.98,74.62,0.6,135,0,0
26/04/2026,14:57:57,31.98,74.69,0.66,141,0,0
26/04/2026,14:59:57,31.99,74.6,0.48,122,0,0
26/04/2026,15:01:57,32.0,74.66,0.47,121,0,0
26/04/2026,15:03:59,32.01,74.59,0.67,142,0,0
26/04/2026,15:05:58,32.01,74.48,0.48,122,0,0
26/04/2026,15:07:58,32.01,74.44,0.6,135,0,0
26/04/2026,15:09:59,32.01,74.27,0.48,122,0,0
26/04/2026,15:11:59,32.02,74.39,0.54,129,0,0
26/04/2026,15:13:59,32.03,74.33,0.44,118,0,0
26/04/2026,15:15:59,32.04,74.38,0.59,134,0,0
26/04/2026,15:17:59,32.04,74.29,0.39,111,0,0
26/04/2026,15:20:00,32.05,74.21,0.48,122,0,0
26/04/2026,15:22:00,32.06,74.27,0.47,121,0,0
26/04/2026,15:24:00,32.06,74.38,0.56,131,0,0
26/04/2026,15:26:00,32.06,74.49,0.58,133,0,0
26/04/2026,15:28:01,32.06,74.58,0.58,133,0,0
26/04/2026,15:30:00,32.06,74.66,0.56,131,0,0
26/04/2026,15:32:00,32.06,74.71,0.62,138,0,0
26/04/2026,15:34:02,32.06,74.82,0.53,128,0,0
26/04/2026,15:36:07,32.07,74.59,0.72,147,0,0
26/04/2026,15:38:03,32.07,74.48,0.59,134,0,0
26/04/2026,15:40:01,32.08,74.39,0.68,143,0,0
26/04/2026,15:42:02,32.08,74.34,0.63,139,0,0
26/04/2026,15:44:03,32.08,74.51,0.67,142,0,0
26/04/2026,15:46:02,32.08,74.49,0.75,150,0,0
26/04/2026,15:48:03,32.08,74.55,0.66,141,0,0
26/04/2026,15:50:03,32.08,74.45,0.54,129,0,0
26/04/2026,15:52:04,32.08,74.46,0.74,149,0,0
26/04/2026,15:54:04,32.08,74.46,0.63,139,0,0
26/04/2026,15:56:04,32.07,74.45,0.58,133,0,0
26/04/2026,15:58:05,32.07,74.44,0.67,142,0,0
26/04/2026,16:00:05,32.07,74.33,0.67,142,0,0
26/04/2026,16:02:05,32.07,74.46,0.76,151,0,0
26/04/2026,16:04:06,32.06,74.45,0.59,134,0,0
26/04/2026,16:06:06,32.06,74.47,0.6,135,0,0
26/04/2026,16:08:06,32.05,74.29,0.48,122,0,0
26/04/2026,16:10:07,32.04,74.15,0.32,102,0,0
26/04/2026,16:12:08,32.03,74.27,0.42,115,0,0
26/04/2026,16:14:07,32.03,74.51,0.58,133,0,0
26/04/2026,16:16:16,32.03,74.48,0.68,143,0,0
26/04/2026,16:18:08,32.02,74.29,0.43,116,0,0
26/04/2026,16:20:08,32.02,74.53,0.61,136,0,0
26/04/2026,16:22:08,32.01,74.48,0.43,116,0,0
26/04/2026,16:24:09,32.01,74.62,0.73,148,0,0
26/04/2026,16:26:10,32.01,74.58,0.46,120,0,0
26/04/2026,16:28:10,32.01,74.54,0.42,115,0,0
26/04/2026,16:30:12,32.0,74.47,0.55,130,0,0
26/04/2026,16:32:10,31.99,74.6,0.55,130,0,0
26/04/2026,16:34:10,31.99,74.62,0.52,127,0,0
26/04/2026,16:36:11,31.98,74.61,0.39,111,0,0
26/04/2026,16:38:11,31.99,74.69,0.42,115,0,0
26/04/2026,16:40:11,31.98,74.75,0.54,129,0,0
26/04/2026,16:42:11,31.98,74.84,0.53,128,0,0
26/04/2026,16:44:12,31.97,74.72,0.4,113,0,0
26/04/2026,16:46:12,31.97,74.9,0.45,119,0,0
26/04/2026,16:48:13,31.96,74.8,0.66,141,0,0
26/04/2026,16:50:16,31.96,74.85,0.49,124,0,0
26/04/2026,16:52:13,31.95,74.89,0.53,128,0,0
26/04/2026,16:54:15,31.95,74.95,0.44,118,0,0
26/04/2026,16:56:13,31.95,74.87,0.45,119,0,0
26/04/2026,16:58:13,31.94,74.95,0.55,130,0,0
26/04/2026,17:00:13,31.94,75.08,0.37,109,0,0
26/04/2026,17:02:13,31.93,75.08,0.46,120,0,0
26/04/2026,17:04:14,31.93,75.16,0.55,130,0,0
26/04/2026,17:06:15,31.93,75.1,0.55,130,0,0
26/04/2026,17:08:14,31.92,75.18,0.45,119,0,0
26/04/2026,17:10:15,31.92,75.2,0.46,120,0,0
26/04/2026,17:12:15,31.91,75.25,0.4,113,0,0
26/04/2026,17:14:15,31.91,75.24,0.49,124,0,0
26/04/2026,17:16:15,31.91,75.32,0.54,129,0,0
26/04/2026,17:18:16,31.91,75.3,0.48,122,0,0
26/04/2026,17:20:17,31.9,75.3,0.76,151,0,0
26/04/2026,17:22:18,31.9,75.4,0.67,142,0,0
26/04/2026,17:24:17,31.9,75.34,0.57,132,0,0
26/04/2026,17:26:22,31.89,75.42,0.4,113,0,0
26/04/2026,17:28:32,31.88,75.47,0.45,119,0,0
26/04/2026,17:30:18,31.88,75.52,0.52,127,0,0
26/04/2026,17:32:20,31.88,75.49,0.5,125,0,0
26/04/2026,17:34:19,31.88,75.46,0.47,121,0,0
26/04/2026,17:36:26,31.88,75.52,0.53,128,0,0
26/04/2026,17:38:19,31.87,75.59,0.63,139,0,0
26/04/2026,17:40:19,31.86,75.62,0.43,116,0,0
26/04/2026,17:42:20,31.85,75.55,0.44,118,0,0
26/04/2026,17:44:19,31.85,75.62,0.71,146,0,0
26/04/2026,17:46:19,31.85,75.63,0.48,122,0,0
26/04/2026,17:48:20,31.85,75.65,0.58,133,0,0
26/04/2026,17:50:20,31.84,75.7,0.39,111,0,0
26/04/2026,17:52:20,31.83,75.77,0.47,121,0,0
26/04/2026,17:54:25,31.82,75.86,0.41,114,0,0
26/04/2026,17:56:21,31.82,75.86,0.57,132,0,0
26/04/2026,17:58:23,31.81,75.91,0.4,113,0,0
26/04/2026,18:00:23,31.81,75.87,0.49,124,0,0
26/04/2026,18:02:30,31.8,75.95,0.34,105,0,0
26/04/2026,18:04:22,31.8,75.86,0.52,127,0,0
26/04/2026,18:06:23,31.8,75.92,0.46,120,0,0
26/04/2026,18:08:23,31.8,75.95,0.42,115,0,0
26/04/2026,18:10:23,31.79,75.99,0.44,118,0,0
26/04/2026,18:12:25,31.79,76.01,0.45,119,0,0
26/04/2026,18:14:24,31.78,76.02,0.44,118,0,0
26/04/2026,18:16:24,31.77,76.11,0.43,116,0,0
26/04/2026,18:18:24,31.76,76.08,0.4,113,0,0
26/04/2026,18:20:25,31.75,76.15,0.36,107,0,0
26/04/2026,18:22:25,31.75,76.13,0.43,116,0,0
26/04/2026,18:24:25,31.75,76.15,0.43,116,0,0
26/04/2026,18:26:25,31.75,76.19,0.49,124,0,0
26/04/2026,18:28:25,31.74,76.2,0.48,122,0,0
26/04/2026,18:30:26,31.74,76.21,0.49,124,0,0
26/04/2026,18:32:29,31.73,76.22,0.41,114,0,0
26/04/2026,18:34:26,31.73,76.3,0.41,114,0,0
26/04/2026,18:36:33,31.73,76.29,0.48,122,0,0
26/04/2026,18:38:27,31.72,76.34,0.31,100,0,0
26/04/2026,18:40:27,31.71,76.42,0.38,110,0,0
